Character,唐Left_Entropy,唐Right_Entropy,宋Left_Entropy,宋Right_Entropy,元Left_Entropy,元Right_Entropy,明Left_Entropy,明Right_Entropy,清Left_Entropy,清Right_Entropy,CaiLeft_Entropy,CaiRight_Entropy
疼,2.1556390622295662,2.5,3.363286923996055,4.106603137064474,2.5216406363433186,2.5216406363433186,3.25,3.327819531114783,2.8553885422075336,2.584962500721156,6.184464474080713,5.675352328398444
刺,7.211726263867996,5.670915436667377,8.617648337791222,6.692365015314874,7.381838745862516,6.405623651370349,8.594206146874788,6.797296537885022,8.451561006439128,6.509454435729705,6.8015444264297225,5.365898557896284
系,7.337499771686714,7.603571072208905,8.705425847152124,8.141339652974246,7.672851634680053,7.467442241260778,8.707387651140053,8.335230927356976,8.513987557908612,8.201697245504002,3.257481354816109,6.3588705487179285
考,6.117129009590622,5.625747092173096,7.928031810682159,7.762466404290359,6.780711703666656,6.151691862905111,8.098149922878765,6.273433638197746,7.44243690469548,7.186043835614884,6.755268253495213,3.685753597245102
幢,5.122031570649769,6.242645553760843,5.383985287210461,7.793021425727232,5.15019423475937,6.412167234235306,5.6032506348661055,7.847495540805188,5.821915931943383,6.764155555170637,2.9020592819564497,4.161943665250956
戮,5.167961517677955,5.092028166108293,6.537922477310168,6.365412703153632,5.051022686015989,5.330440836916584,5.941886606083414,6.3786816469093335,5.695687774442716,6.0252174381175525,0.3289329141190036,6.114176549384749
密,8.252105637412283,7.889455926517772,8.508511386059988,9.044411530000032,8.023791400390463,7.914721926173311,8.848858613784975,8.321528717620064,8.681355227981202,8.176207547757052,4.8833252342159374,7.12141706984623
铍,2.235926350629033,2.235926350629033,1.584962500721156,1.584962500721156,1.0,1.0,1.521928094887362,0.9709505944546686,2.9219280948873623,2.7219280948873625,2.9171886421180044,1.7366454863733376
挫,4.288909765557392,4.538909765557392,6.11036487249934,7.07228537846504,4.585551863313456,4.737867644967818,5.470220223972856,5.976955842812151,5.291658380803991,5.916688185825242,5.717979663616809,3.4293072332688985
碟,-0.0,-0.0,1.9219280948873625,0.7219280948873623,-0.0,-0.0,2.5032583347756456,2.725480556997868,3.084962500721156,3.2516291673878226,4.51660818670747,6.564019982638516
醍,5.04740865188523,0.5660834921220874,6.055895093657411,0.3277028080189131,4.162023973678587,-0.0,5.716188660545192,0.3047477029943567,4.94577248225106,0.4844439338352438,3.880179922675737,-0.0
亦,9.244907499077335,8.00912430806102,9.57714682731402,8.57189068716586,9.110243335075086,7.959954305264769,9.648695942828994,8.55663905327069,9.462009658829446,8.774331035659362,6.678741387773207,5.1213414731602445
剩,6.5464914076172045,6.382244987794958,9.012671742094003,7.14627009497169,7.311693423649084,5.776862061606887,8.73441161050836,6.188696814585283,9.142755993796982,7.520823542490997,5.34060884504207,3.234145912502161
茎,4.959506574561475,6.978441439755717,5.48802583959129,7.715107484312645,4.47118940549821,6.637665460040815,4.335163269889755,8.043973480690449,4.707723573301931,7.344461036865329,1.1124777589874648,6.582439676222217
捐,5.162030482530799,6.330925630918174,7.261677533667711,7.750874557457201,6.323786868223628,6.49936903905755,7.469987512381829,7.748489893386034,7.287742862923325,6.982280297327274,6.730080780492065,4.222720727294219
窠,5.181606780519956,5.880008149970292,6.545308229733579,7.549955388249414,4.842915922381359,5.454822399946608,5.856024305842988,6.802149653781119,5.335580133721972,6.916794514840797,-0.0,-0.0
醒,6.041066648964871,7.386573092381034,6.941394024902172,8.473533226572735,5.802307495200047,7.882924391380401,6.723943510574291,8.602864402770063,6.1957226451070975,8.65374333936729,5.433367361246226,5.244669594208552
犯,6.783071786777132,5.967124911538151,7.922616058544196,7.667839338503309,5.942518006758623,6.072646875585648,7.428372931406712,7.007579694647095,6.126639790765684,7.54820895826613,6.468936110644352,6.062131878912584
箩,0.7219280948873623,1.521928094887362,2.3717897607501004,3.794195852747862,0.9182958340544896,0.9182958340544896,2.75,2.75,2.25,2.25,3.184171619958589,2.592284021713533
丝,7.387882482552357,8.252969141665606,7.80717256361303,8.816888498669636,7.06031909851202,8.403945268329968,7.691871165171494,8.905332779537936,7.277146328334828,8.763248340234654,6.020650823862463,7.787403877342098
韦,7.951575262433892,4.441408653987977,8.422815825380141,3.784346719226368,6.784637320168929,5.061650340538067,8.162833799924837,5.979254305360889,7.524172587820553,5.860422878501227,7.289894536894885,3.6849082787163874
厌,6.491262276850899,7.976954070097559,7.548789566929769,8.977772138772831,6.790391929307474,7.933715282880698,6.873391390608156,8.762320479034004,6.83394866691348,8.184930687108533,2.089792844978361,6.2608735108657605
闾,5.407304228824242,5.538873299844826,6.346090404085898,7.251362014431824,5.975787478304532,5.977598949446935,6.628476162858801,6.953628182952135,5.798198813697834,7.251525074316905,-0.0,-0.0
翎,4.810130443569165,5.924951970195013,5.714830903887028,7.20671213493896,4.832816191005891,6.278260447209506,5.957352925146067,7.625813051367066,5.093190937730665,7.481034862710627,1.0,-0.0
柘,3.583090820540112,4.798099348292461,4.152716662822897,6.908829254785554,3.334592657426981,5.346482237543495,3.954253489370371,6.410579524511276,5.084927761871409,6.239496786991722,-0.0,-0.0
闪,5.1359098332482285,5.326920856239808,6.111342625184276,5.220876842032227,5.136133608031759,5.1745115994477695,6.54949433405553,6.271907309908537,6.535850022546843,6.530943590931763,7.267732605792559,4.8076446730443
蟾,6.144610296752708,6.026578570209384,5.293574130822325,8.033123644107334,6.777286657132351,6.168497087554731,7.253722993411301,6.15306443749305,6.9210709325983535,6.965635631134793,4.230107662388591,0.2695488990811939
渥,5.768753961557644,4.619304024367411,7.001076817499735,5.946672063067178,5.413250452607306,4.510349237489748,6.664587523236562,6.55213978988146,6.086723654402579,5.019856395731164,4.762596412344234,3.940649901646898
梯,5.512347183521828,6.7576376011947366,6.756551924875624,7.8140602187188835,5.237143122437919,6.789862490197876,5.763082858172983,7.662158773880752,6.500107797712624,7.380691936621991,2.9199693059299845,6.658828938832597
腥,6.43021625725386,5.924663850793205,7.948970567450566,6.937062424860405,6.748890380884318,6.533005288366979,7.591594272305998,7.02306103382077,7.202834734479592,6.907083064383947,1.752667073993048,4.57675851164479
庖,5.225186429663006,4.229438978392482,7.579767238002366,6.781303744894126,5.632310294641183,5.5011827580470944,6.984098551197327,5.960079937239205,5.893059151623132,4.931685427255357,0.7732283485249176,3.3927474104487847
犊,4.800746260277081,5.540706319973391,6.1981150615738265,7.742414114648347,5.065488470273348,6.532696766161887,5.968539964181368,7.975810123602998,5.806644061198146,7.329211130619073,3.031115944575225,3.1793721165593305
涌,5.715293467797999,6.2590130404956925,7.2605446454887215,7.359094058087214,6.611401011077239,6.566981962776771,7.218590058500182,7.64489289759368,7.164979354247264,7.780171038481667,5.933394573614173,4.87613050587078
温,7.4205488535452675,5.034872944592718,8.713132673527141,8.40659160146647,7.41164219438102,7.382902141415171,8.813419693847782,7.677649864112586,8.66286483655212,7.622467149045818,7.278119975259688,5.866699300419351
育,4.73821863592895,5.447613208833767,6.7571447492781935,7.319786826532353,5.713214391366549,6.54105626113211,6.703269828696136,7.780281225432381,5.66775639589017,6.303385969395373,2.5362074625997315,7.03339492260766
状,6.466428932301854,7.3103649273943025,7.339587682860702,7.726344650697957,6.240548068007025,6.288821163967715,7.044316807434519,6.891487600047042,7.2009357588143725,7.982178492938086,6.45050700729957,4.257385097056015
娈,-0.0,4.09306920777189,1.3147743449381972,5.476309634270283,0.497150183636967,4.220175521464345,1.03989507765214,6.372668859637373,0.5178509292010347,6.085861422421496,3.334679141051595,-0.0
骥,5.159146202494734,6.546572948442269,6.442140084170614,7.773522600647321,4.885633862437039,6.416884048237235,6.346143913272146,7.658128545464785,6.016675124344143,7.116914085170164,2.321928094887362,1.3709505944546687
秃,4.788754913993502,4.879664004902593,7.465652838556732,6.484149202304314,6.005372402798633,5.199570003699464,6.956179834828712,6.431665666566405,7.333825898174542,6.768674359486731,5.838265622325189,3.2232081399534613
男,7.16835772947022,4.33132276982756,8.285474657537586,4.168703662596631,7.0178856268462,4.827171825210588,8.17574120814498,4.527193491285893,8.021058695217473,4.307767920751866,5.966127927483217,3.510143807948268
描,3.5,3.5,6.704273582924395,5.800828706964346,4.914588327087976,5.081198332810095,6.490352968426047,6.005957942220825,7.184177408321704,7.132475195020181,5.165379832105534,4.095475896344694
谜,2.5,2.1556390622295662,2.063458298648304,3.0565647621309537,2.9477027792200903,2.9477027792200903,4.337175341123076,4.418201444127884,3.436046624243382,4.541503900708585,4.55510269238252,5.346189697240315
