,Charcter,Frequency,log_frequency,Frequency_per_million,CD,Log_CD,Strokes,Tone,Rhyme
9158,顏,2,0.3010299956639812,0.0388368179999999,1,0.0,18.0,,
9159,獌,5,0.6989700043360189,0.097092045,5,0.6989700043360189,14.0,平/仄,上平十四寒 上平十五删 去声十四愿 去声十五翰
9160,㻫,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,15.0,仄,入声四质
9161,秅,6,0.7781512503836436,0.116510454,6,0.7781512503836436,8.0,平/仄,下平六麻 去声七遇
9162,秝,3,0.4771212547196624,0.058255227,3,0.4771212547196624,10.0,仄,入声十二锡
9163,眭,5,0.6989700043360189,0.097092045,5,0.6989700043360189,11.0,平/仄,上平四支 上平八齐 去声四寘 去声八霁
9164,皻,3,0.4771212547196624,0.058255227,3,0.4771212547196624,16.0,平,下平六麻
9165,鷨,1,0.0,0.0194184089999999,1,0.0,21.0,平,下平六麻
9166,趦,1,0.0,0.0194184089999999,1,0.0,16.0,,
9167,冃,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,4.0,仄,去声二十号
9168,鷔,9,0.9542425094393248,0.17476568,9,0.9542425094393248,21.0,平/仄,下平四豪 下平十一尤 去声二十号
9169,罃,7,0.8450980400142568,0.135928863,7,0.8450980400142568,16.0,平,下平八庚
9170,誷,10,1.0,0.1941840889999999,10,1.0,15.0,仄,上声二十二养
9171,甈,9,0.9542425094393248,0.17476568,9,0.9542425094393248,14.0,仄,去声八霁
9172,溵,10,1.0,0.1941840889999999,8,0.9030899869919436,13.0,平,上平十二文
9173,椆,5,0.6989700043360189,0.097092045,5,0.6989700043360189,12.0,平/仄,下平十一尤 去声二十六宥
9174,胣,1,0.0,0.0194184089999999,1,0.0,9.0,仄,上声四纸
9175,疻,15,1.1760912590556811,0.2912761339999999,15,1.1760912590556811,10.0,仄,上声四纸
9176,馮,1,0.0,0.0194184089999999,1,0.0,12.0,,
9177,廾,1,0.0,0.0194184089999999,1,0.0,3.0,,
9178,槅,60,1.7781512503836436,1.165104537,60,1.7781512503836436,14.0,仄,入声十一陌
9179,钑,16,1.2041199826559248,0.310694543,16,1.2041199826559248,8.0,仄,入声十四缉 入声十五合
9180,珽,13,1.1139433523068367,0.252439316,13,1.1139433523068367,10.0,仄,上声二十四迥
9181,缎,7,0.8450980400142568,0.135928863,7,0.8450980400142568,12.0,仄,去声十五翰
9182,昷,1,0.0,0.0194184089999999,1,0.0,9.0,,
9183,糓,1,0.0,0.0194184089999999,1,0.0,16.0,,
